Timestamp,Character's name,"Character's race (human, elf, dwarf, etc)","Character's class (rogue, wizard, cleric, etc)",Character's backstory
9/17/2017 22:24:47,Erryt,Aarakocra,Ranger,"Erryt, a 7 year-old Aarakocra with golden plumage, crest and wings tipped with crimson, quickly earned a reputation in his home village for being the keenest eye and sharpest shot in the community. He was given a post as the watchman, scout, and guardian in charge of keeping the village safe. He did his job well, but the gargoyles the village had been at war with managed to find the one thing Erryt couldn’t see coming. They triggered a massive rockslide on the mountain, crushing the entire town and its inhabitants. Erryt saw no others escape the disaster, and his eyes “are as keen as they come! Keen as they come! BRAWK!” Seeing he was vastly outnumbered, Erryt fled, and has been on the wing for days, having just finally lost the last of the gargoyles chasing him."
9/18/2017 8:06:59,Katyusha,Aarakocra,Cleric,"Real name !kã_usa
Lives in fantasy Soviet Union, she and Valentina are an ethnic minority. Some Aarakocra came there a long time ago and learned reindeer herding from local tribesmen. The open sky suits their culture and mentality.
https://www.google.com/maps/@67.9144288,67.3602324,1094940m/data=!3m1!1e3
Grew up in a reindeer herding tribe far up north in the tundra. Went to university to become a healer-priest for her tribe. Met her girlfriend there, but her girlfriend Valentina (_alentao) went to fight in the Great Patriotic War. (Valentina is also an Aarakocra, but she and her family are from an Aarakocra neighbourhood in a city somewhere.)
The War lasted for 3 years. Now it has been two more years and Valentina has not come back yet. So Katyusha wanders with her dog, Maraka, to find her lost love. 
Katyusha and Valentina had rings made together when Valentina left for the war. The gems in the rings glow faintly to let them know the other is alive and well. (The gem stops glowing if taken off their finger or if they die) However, it does not point to where they are, so there is no indicator other than local tales. 
(Valentina probably got taken as a prisoner of war or something idk)"
9/18/2017 7:29:01,Surkiikri,Aarakocra,Monk,"Surkiikri was firstborn of the ruling family of the Mistcliffs Aarakocran colony in Chult. Tradition, though not law, dictates that the noble title pass to the firstborn, but Surk was passed over for his younger sister, Krilahk, a far more charismatic leader. Surk initially turned to the monastery to hone his martial skills, but there he also found belonging in the simply life away from the headaches of responsibility.
When word came to the monastery of new rumors of a piece of the Rod of Seven Parts, Surk felt a deeply rooted sense of responsibility stir for the people he was born, if not chosen, to lead. He left his new home in search of this artifact with the blessing of his order going with him. 
Surk lives a highly conflicted inner life. He is content, happy even, with his life as a monk, though he still feels keenly the sting of not being good enough in the eyes of the Elder Council. However, deeper still, lies the truth that he never wanted to be the tribal leader. He remembers the ascension of his sister to the throne with relief mingled with guilt. This conflict of desires churns underneath the generous and altruistic attitude Surk presents to the world."
9/18/2017 8:17:14,Azriel,Aasamar,Paladin,He was raised the isles in a family of nobles who had close ties to the gods and there angelic guardians. Then one day an army of bone devils slaughtered all the angels and anyone related or associated with them. Azriel escapes the the isles to try and put his life back together until he is taken by slavers and returns to the isles once more to tyrants and monstrosities.
9/18/2017 17:30:27,Mei Qiao,Aasimar,Paladin,
9/17/2017 23:46:38,Azophyr,Aasimar,Paladin,"Hi... I'm Azophyr. I'm a fallen aasimar devotion Paladin. After an encounter with the forces of darkness, I was cast out of the heavens. Anyway, Azophyr wears a visor on his helmet over his helmet for discretion. If he shows his face too often, he's gets recognized from ancient works of art and paintings in tombs. 
Syndra, however, has seen my face and knows me enough to recognize me."
9/17/2017 19:59:26,Mayanna Blackthorn,Aasimar,Paladin,"Was found on the steps of a temple to Heironeous as a young child and raised by one of the paladins.  Her unusual skin coloring (from being an aasimar) matched some of the descriptions of Heironeous, so the priests and paladins at the temple considered her to be blessed. She became a paladin herself and after successfully battling against forces of the evil god Hextor, she was assigned on a new mission to serve as a diplomat to a newly discovered land across the sea."
9/18/2017 9:19:14,Ambriel Falafel,Aasimar,Paladin,"Ambriel, the haunted one, is on a quest to vanquish evil. Once an upstanding paladin, she made the mistake of reading an Eldrich tome. Despite destroying the tome, its words still echo in her mind, and she has slowly been losing her grip on her sanity and her alignment. Now, she clings to her mission of taking down the greatest evil, hoping for redemption, although she no longer believes she deserves it. Ambriel has fallen, and the only thing that keeps her going is knowing she's taking evil down with her. Also, she doesn't read anymore. Books are as untrustworthy as people."
9/18/2017 7:32:19,Aldea,Aasimar,Cleric (Tempest),"Aldea was born in a kingdom where magic was everywhere, wizards ruled, and lacking it herself, she and her family were lower-class. At some point a wealthy nobleman recognized her noble blood and decided he wanted her as a mistress. She rejected him, and he had her family tried and executed for treason, magic disintegrating them on the spot. But he left her alive, still obsessed. Terrified, Aldea begged for any god that would listen to help her, and one did: Valkyr, the god of Storms and Sailors. His power helped her to escape the city and later her country, and now she does her best to forget the past and serve her savior."
9/18/2017 13:51:36,Mevralen,aasimar,paladin,"At a young age, Mevralen's mother, Althaea, noticed that there was something different about her child. She fled the judgement of the elves and her family to raise her child in Greenest.
As young Mev grew, Althaea came to realize that there was something of the Divine about her child. She was not surprised, then, when, at the age of 8, an angel appeared and requested custody of Mevralen for a decade, to train him for his destiny as a holy protectors of all.
""A decade is not so long, my dear Mev. Go with her - I will be here when you return.""
The angel's name was Myllandra, and as the angel quested throughout Faerun, she raised Mev in the way of the gods. She taught him of people and of the divine, and trained him in the tools of violence so he could protect the peoples of Faerun. She tempered his troubling violent streak, and taught him the importance of compassion, mercy, and understanding.
As the end of of Mev's training drew near, Myllandra taught him of the mystic senses of a paladin... and Mev received a vision of Greenest in flames, his mother in danger. Against the warnings of Myllandra, Mev abandoned his training, travelling to Greenest with his Paladin Oath of Protection incomplete."
9/18/2017 15:44:33,Zea,Aasimar,Cleric,"She was born to a pure blooded Aasimar family, and lived with her father and two younger sisters. Her father was very much a hippy, he constantly preached the word of Pan, and her sisters always did charity work whenever they could. Zea however became very much the opposite. While she went to church with her family without complaint, she eventually grew tired of having to praise someone she didn't even know or care about.
That was when, at aged 36, she moved out to live on her own. She struggled a lot with money and debts so she, very hesitantly, began to praise the goddess Lyvalia. Very soon she became someone with a silver tongue, and was able to swindle praise and wealth out of near any common folk. But she wasn't happy, she was back at square one, worshipping someone she doesn't care for. So she researched, and found people called ""Separatists"", who can go against their gods and follow their own path, while still getting the benefits from their old god and staying in good graces.
Now, aged 90, she strolls around miserable towns, praising herself as a powerful goddess. She shows off her holy flames and beauty like she has nothing to lose (with the occasional ""Praise to Lyvalia"" since she still needs to spread her word to get her benefits), and installs utter terror to those who stray from her."
